,,,,,,,,
,Salesman_ID,Year,Units_Sold,Unit_Price,Customer_connects_count,New_customer_count,Pipeline Revenue,New_customer_acquisition_target
,NY-9092,2012,425,139.80,  899 ,  174 ,"59,415.00",348
,VT-9070,2012,684,140.50,  799 ,  99 ,"96,102.00",99
,MN-4564,2012,33,119.30,  792 ,  16 ,"7,873.80",16
,MO-6223,2012,886,111.70,  926 ,  81 ,"98,966.20",162
,ME-5395,2012,748,137.10,  798 ,  32 ,"205,101.60",64
,MO-5138,2012,287,126.10,  307 ,  91 ,"72,381.40",91
,MT-9444,2012,751,130.90,  787 ,  67 ,"196,611.80",67
,CA-3697,2013,477,139.70,  836 ,  333 ,"133,273.80",333
,AL-9060,2013,235,122.00,  981 ,  208 ,"28,670.00",208
,NC-6029,2013,810,136.50,  982 ,  714 ,"110,565.00",1428
,MI-1982,2013,842,127.10,  848 ,  576 ,"107,018.20",1152
,VT-1811,2013,196,112.60,  994 ,  140 ,"22,069.60",140
,NH-1753,2013,526,108.10,  529 ,  482 ,"56,860.60",482
,MI-8175,2013,679,131.70,  729 ,  625 ,"178,848.60",1250
,OH-3055,2013,523,148.00,  614 ,  46 ,"154,808.00",92
,VA-2792,2013,145,115.90,  332 ,  51 ,"16,805.50",102
,OK-9908,2013,272,145.40,  633 ,  63 ,"39,548.80",63
,FL-6634,2013,95,116.80,  794 ,  47 ,"11,096.00",47
,RI-1155,2013,561,107.00,  818 ,  186 ,"60,027.00",372
,AP-3690,2013,962,129.20,  970 ,  397 ,"248,580.80",397
,IL-1673,2013,648,110.20,  745 ,  60 ,"142,819.20",120
,RI-9522,2013,102,124.50,  663 ,  77 ,"12,699.00",77
,AL-3791,2013,979,119.00,  987 ,  600 ,"233,002.00",600
,SC-8889,2013,284,125.90,  466 ,  180 ,"71,511.20",360
,SD-9820,2013,703,139.60,  909 ,  627 ,"196,277.60",1254
,MS-7667,2013,294,111.00,  811 ,  103 ,"65,268.00",103
,AA-5468,2013,720,125.60,  757 ,  604 ,"180,864.00",1208
,OK-7029,2013,651,145.00,  664 ,  643 ,"188,790.00",643
,AR-6505,2013,887,124.00,  982 ,  729 ,"219,976.00",1458
,NH-7121,2013,914,142.50,  971 ,  481 ,"130,245.00",962
,KY-3871,2013,416,114.00,  889 ,  283 ,"94,848.00",283
,NE-5546,2013,616,131.50,  737 ,  476 ,"81,004.00",952
,OH-9268,2013,174,121.70,  381 ,  100 ,"21,175.80",100
,NY-6884,2013,575,106.00,  822 ,  95 ,"121,900.00",190
,MS-1168,2013,862,119.20,  934 ,  669 ,"102,750.40",1338
,MN-3829,2013,766,139.70,  863 ,  739 ,"214,020.40",739
,DC-4818,2013,141,139.40,  178 ,  98 ,"19,655.40",98
,HI-9241,2013,130,134.00,  296 ,  78 ,"17,420.00",78
,VA-3336,2013,4,131.70,  142 ,  -   ,526.80,0
,OR-8647,2013,533,139.70,  866 ,  518 ,"74,460.10",1036
,ND-8927,2013,307,129.50,  727 ,  306 ,"39,756.50",612
,AL-6234,2013,681,113.90,  694 ,  44 ,"77,565.90",44
,UT-9571,2013,52,142.30,  281 ,  15 ,"7,399.60",30
,NV-9175,2013,488,131.00,  723 ,  141 ,"127,856.00",282
,ID-4433,2013,589,103.40,  599 ,  310 ,"60,902.60",310
,OR-3391,2013,286,100.80,  865 ,  42 ,"28,828.80",42
,PA-4952,2013,528,141.50,  569 ,  330 ,"74,712.00",660
,CO-4476,2013,107,114.20,  262 ,  94 ,"12,219.40",94
,HI-2254,2013,808,146.50,  988 ,  65 ,"118,372.00",130
,MI-9048,2013,919,127.60,  999 ,  863 ,"234,528.80",1726
,NY-9092,2013,294,141.00,  476 ,  159 ,"41,454.00",159
,VT-9070,2013,784,139.20,  897 ,  700 ,"109,132.80",1400
,MN-4564,2013,155,106.00,  196 ,  145 ,"45,260.00",145
,MO-6223,2013,316,139.80,  615 ,  142 ,"44,176.80",142
,ME-5395,2013,156,136.30,  520 ,  13 ,"42,525.60",13
,MO-5138,2013,28,139.20,  44 ,  14 ,"7,795.20",28
,MT-9444,2013,550,141.40,  931 ,  515 ,"77,770.00",515
,CA-3697,2014,458,110.50,  828 ,  318 ,"50,609.00",636
,AL-9060,2014,570,148.30,  588 ,  513 ,"169,062.00",1026
,NC-6029,2014,670,121.90,  858 ,  445 ,"81,673.00",890
,MI-1982,2014,190,135.40,  585 ,  93 ,"51,452.00",93
,VT-1811,2014,210,100.40,  417 ,  94 ,"42,168.00",188
,NH-1753,2014,923,123.50,  930 ,  665 ,"113,990.50",665
,MI-8175,2014,14,125.60,  779 ,  10 ,"1,758.40",10
,OH-3055,2014,33,108.70,  628 ,  4 ,"7,174.20",4
,VA-2792,2014,436,147.30,  900 ,  138 ,"64,222.80",138
,OK-9908,2014,940,132.10,  940 ,  614 ,"248,348.00",614
,FL-6634,2014,619,121.10,  826 ,  132 ,"149,921.80",264
,RI-1155,2014,717,129.10,  931 ,  87 ,"185,129.40",87
,AP-3690,2014,737,135.30,  799 ,  12 ,"99,716.10",12
,IL-1673,2014,557,108.70,  690 ,  176 ,"121,091.80",176
,RI-9522,2014,353,135.80,  441 ,  297 ,"95,874.80",594
,AL-3791,2014,786,127.90,  964 ,  101 ,"201,058.80",101
,SC-8889,2014,194,110.20,  984 ,  40 ,"42,757.60",80
,SD-9820,2014,370,104.90,  761 ,  23 ,"38,813.00",46
,MS-7667,2014,967,144.50,  979 ,  475 ,"279,463.00",950
,AA-5468,2014,787,105.00,  976 ,  110 ,"165,270.00",220
,OK-7029,2014,594,117.10,  959 ,  275 ,"69,557.40",550
,AR-6505,2014,835,136.40,  926 ,  342 ,"113,894.00",684
,NH-7121,2014,967,128.30,  759 ,  332 ,"174,077.20",664
,KY-3871,2014,180,149.40,  415 ,  82 ,"26,892.00",82
,NE-5546,2014,297,127.60,  820 ,  142 ,"37,897.20",284
,OH-9268,2014,536,142.10,  968 ,  482 ,"152,331.20",964
,NY-6884,2014,420,140.60,  483 ,  94 ,"59,052.00",94
,MS-1168,2014,9,101.40,  42 ,  5 ,"1,825.20",5
,MN-3829,2014,452,110.20,  476 ,  439 ,"99,620.80",878
,DC-4818,2014,226,142.70,  940 ,  29 ,"32,250.20",58
,HI-9241,2014,230,145.30,  437 ,  2 ,"66,838.00",4
,VA-3336,2014,498,147.90,  943 ,  415 ,"73,654.20",830
,OR-8647,2014,109,150.00,  775 ,  5 ,"16,350.00",5
,ND-8927,2014,886,117.30,  889 ,  848 ,"207,855.60",848
,AL-6234,2014,161,142.00,  400 ,  27 ,"45,724.00",27
,UT-9571,2014,540,146.20,  985 ,  6 ,"157,896.00",12
,NV-9175,2014,597,131.00,  883 ,  397 ,"156,414.00",794
,ID-4433,2014,59,121.50,  661 ,  9 ,"14,337.00",9
,OR-3391,2014,8,111.10,  922 ,  1 ,"1,777.60",2
,PA-4952,2014,978,143.10,  996 ,  312 ,"139,951.80",624
,CO-4476,2014,904,148.40,  941 ,  798 ,"134,153.60",1596
,HI-2254,2014,413,110.00,  428 ,  116 ,"90,860.00",232
,MI-9048,2014,43,125.80,  878 ,  43 ,"10,818.80",86
,NY-9092,2014,209,142.60,  684 ,  180 ,"59,606.80",360
,VT-9070,2014,414,101.30,  960 ,  317 ,"83,876.40",634
,MN-4564,2014,334,125.80,  781 ,  89 ,"84,034.40",378
,MO-6223,2014,775,136.00,  816 ,  442 ,"210,800.00",884
,ME-5395,2014,562,102.00,  695 ,  3 ,"57,324.00",3
,MO-5138,2014,713,133.20,  751 ,  14 ,"94,971.60",28
,MT-9444,2014,439,146.20,  741 ,  215 ,"64,181.80",430
,CA-3697,2015,634,129.90,  780 ,  518 ,"82,356.60",518
,AL-9060,2015,495,116.60,  908 ,  407 ,"57,717.00",407
,NC-6029,2015,839,130.40,  899 ,  432 ,"218,811.20",432
,MI-1982,2015,130,145.00,  977 ,  62 ,"18,850.00",62
,VT-1811,2015,258,131.20,  904 ,  22 ,"33,849.60",22
,NH-1753,2015,117,123.80,  584 ,  116 ,"14,484.60",116
,MI-8175,2015,423,106.70,  849 ,  179 ,"45,134.10",179
,OH-3055,2015,61,122.60,  609 ,  32 ,"7,478.60",64
,VA-2792,2015,819,106.90,  963 ,  142 ,"87,551.10",142
,OK-9908,2015,134,149.40,  376 ,  17 ,"20,019.60",34
,FL-6634,2015,170,140.00,  295 ,  7 ,"23,800.00",14
,RI-1155,2015,81,149.90,  476 ,  11 ,"24,283.80",22
,AP-3690,2015,109,100.90,  947 ,  106 ,"21,996.20",106
,IL-1673,2015,770,136.80,  900 ,  476 ,"210,672.00",476
,RI-9522,2015,940,135.60,  974 ,  265 ,"254,928.00",265
,AL-3791,2015,769,121.10,  942 ,  221 ,"93,125.90",221
,SC-8889,2015,581,127.60,  662 ,  63 ,"74,135.60",63
,SD-9820,2015,125,107.60,  891 ,  63 ,"26,900.00",126
,MS-7667,2015,230,132.90,  675 ,  15 ,"61,134.00",30
,AA-5468,2015,455,114.60,  913 ,  62 ,"104,286.00",124
,OK-7029,2015,833,120.50,  886 ,  584 ,"100,376.50",584
,AR-6505,2015,45,102.00,  377 ,  25 ,"9,180.00",50
,NH-7121,2015,949,149.20,  950 ,  774 ,"283,181.60",774
,KY-3871,2015,312,140.40,  993 ,  169 ,"87,609.60",169
,NE-5546,2015,929,145.90,  997 ,  811 ,"135,541.10",811
,OH-9268,2015,476,127.50,  988 ,  42 ,"121,380.00",84
,NY-6884,2015,817,130.30,  899 ,  714 ,"212,910.20",714
,MS-1168,2015,849,104.90,  877 ,  39 ,"89,060.10",39
,MN-3829,2015,174,113.40,  524 ,  163 ,"19,731.60",326
,DC-4818,2015,783,113.30,  816 ,  204 ,"177,427.80",408
,HI-9241,2015,138,122.60,  797 ,  87 ,"16,918.80",174
,VA-3336,2015,914,130.90,  985 ,  606 ,"119,642.60",606
,OR-8647,2015,115,118.80,  748 ,  36 ,"27,324.00",72
,ND-8927,2015,980,102.20,  980 ,  882 ,"100,156.00",882
,AL-6234,2015,407,146.80,  882 ,  230 ,"119,495.20",230
,UT-9571,2015,555,138.00,  839 ,  526 ,"153,180.00",526
,NV-9175,2015,967,100.00,  982 ,  767 ,"96,700.00",1534
,ID-4433,2015,770,130.00,  776 ,  553 ,"100,100.00",1106
,OR-3391,2015,822,117.60,  974 ,  94 ,"96,667.20",188
,PA-4952,2015,922,141.30,  981 ,  765 ,"130,278.60",765
,CO-4476,2015,879,148.80,  882 ,  603 ,"130,795.20",603
,HI-2254,2015,537,145.20,  970 ,  25 ,"77,972.40",50
,MI-9048,2015,560,125.40,  572 ,  511 ,"70,224.00",1022
,NY-9092,2015,282,118.40,  463 ,  97 ,"66,777.60",194
,VT-9070,2015,992,137.40,  992 ,  442 ,"136,300.80",884
,MN-4564,2015,112,93.30,  307 ,  24 ,"11,569.60",48
,MO-6223,2015,90,110.30,  229 ,  57 ,"19,854.00",114
,ME-5395,2015,650,127.40,  840 ,  554 ,"82,810.00",1108
,MO-5138,2015,767,121.70,  842 ,  12 ,"93,343.90",24
,MT-9444,2015,304,104.40,  378 ,  289 ,"31,737.60",578
,CA-3697,2016,583,136.20,  989 ,  286 ,"79,404.60",572
,AL-9060,2016,539,104.30,  820 ,  243 ,"56,217.70",486
,NC-6029,2016,12,122.40,  769 ,  6 ,"2,937.60",6
,MI-1982,2016,418,107.00,  437 ,  244 ,"44,726.00",488
,VT-1811,2016,62,136.50,  497 ,  42 ,"16,926.00",84
,NH-1753,2016,398,113.00,  512 ,  356 ,"44,974.00",356
,MI-8175,2016,309,120.90,  384 ,  159 ,"37,358.10",159
,OH-3055,2016,638,114.20,  967 ,  330 ,"145,719.20",660
,VA-2792,2016,213,124.20,  758 ,  159 ,"26,454.60",159
,OK-9908,2016,497,117.80,  612 ,  25 ,"58,546.60",50
,FL-6634,2016,279,140.80,  612 ,  59 ,"78,566.40",59
,RI-1155,2016,853,121.90,  875 ,  274 ,"103,980.70",548
,AP-3690,2016,255,138.00,  872 ,  212 ,"70,380.00",212
,IL-1673,2016,702,142.30,  755 ,  53 ,"199,789.20",53
,RI-9522,2016,249,110.70,  524 ,  190 ,"55,128.60",380
,AL-3791,2016,267,123.60,  647 ,  99 ,"33,001.20",99
,SC-8889,2016,529,121.70,  867 ,  58 ,"64,379.30",58
,SD-9820,2016,164,111.10,  797 ,  6 ,"18,220.40",6
,MS-7667,2016,845,128.80,  947 ,  291 ,"108,836.00",291
,AA-5468,2016,204,111.50,  637 ,  117 ,"45,492.00",117
,OK-7029,2016,64,140.20,  787 ,  55 ,"17,945.60",110
,AR-6505,2016,157,129.00,  409 ,  3 ,"20,253.00",6
,NH-7121,2016,930,117.80,  958 ,  575 ,"209,554.00",1150
,KY-3871,2016,707,143.20,  988 ,  558 ,"202,484.80",558
,NE-5546,2016,295,147.90,  608 ,  230 ,"43,630.50",460
,OH-9268,2016,809,145.80,  835 ,  691 ,"235,904.40",691
,NY-6884,2016,374,148.90,  593 ,  186 ,"111,377.20",186
,MS-1168,2016,230,105.80,  700 ,  173 ,"48,668.00",173
,MN-3829,2016,31,126.10,  653 ,  1 ,"7,818.20",2
,DC-4818,2016,198,110.50,  317 ,  85 ,"43,758.00",85
,HI-9241,2016,99,114.00,  331 ,  58 ,"11,286.00",116
,VA-3336,2016,430,118.60,  767 ,  310 ,"101,996.00",310
,OR-8647,2016,547,139.30,  747 ,  316 ,"76,197.10",632
,ND-8927,2016,473,125.50,  963 ,  154 ,"59,361.50",154
,AL-6234,2016,54,115.20,  244 ,  25 ,"12,441.60",50
,UT-9571,2016,186,119.90,  985 ,  6 ,"22,301.40",6
,NV-9175,2016,513,116.70,  915 ,  78 ,"59,867.10",78
,ID-4433,2016,89,122.20,  991 ,  60 ,"21,751.60",120
,OR-3391,2016,398,115.20,  454 ,  60 ,"45,849.60",60
,PA-4952,2016,117,109.20,  643 ,  5 ,"25,552.80",10
,CO-4476,2016,268,141.20,  457 ,  204 ,"37,841.60",204
,HI-2254,2016,230,119.10,  997 ,  201 ,"27,393.00",201
,MI-9048,2016,393,111.20,  628 ,  225 ,"87,403.20",450
,NY-9092,2016,852,134.00,  950 ,  410 ,"228,336.00",820
,VT-9070,2016,818,112.60,  968 ,  275 ,"184,213.60",550
,MN-4564,2016,121,85.80,  539 ,  54 ,"35,283.60",108
,MO-6223,2016,781,102.70,  790 ,  376 ,"80,208.70",752
,ME-5395,2016,856,124.20,  873 ,  234 ,"106,315.20",468
,MO-5138,2016,475,119.90,  617 ,  464 ,"56,952.50",928
,MT-9444,2016,403,121.20,  891 ,  46 ,"97,687.20",92
